lyrics,Emotion
"তুমি মেঘ হয়ে ভাসো, আমি শুকনো খরা,
এই বোহেমিয়ান মন, গর্জনে শুধু কাঁদে।",sadness
"আমি সূর্যের আলো, তুমি রাতের তারা,
এই অবুঝ প্রেম, যেন এক মায়া-ডানা।",nostalgia
"কথা ছিলো, একসাথে পথ চলবো,
বৃষ্টিতে ভিজবো, সুখে দু'জনে হাসবো।",nostalgia
"তুমি জন্ম দেবে
অন্য আমাকে
অন্য আমাকে আর আমি
ডুবে যেতে যেতে যেতে
হবো আপন
আরো আপন আরো আপন",happiness
"কল্প সাধন মাতাল হাওয়া, আপন পথে হারিয়ে যাওয়া
জীবন দেখার অবাক টানে, সরল রেখার অন্য মানে
তোমার আমার কাঁচের দেয়াল
সূর্যটাকে রাখিস খেয়াল",nostalgia
"গাছের চূড়ায় নতুন শহর, নদী পানি ফুলের বহর
সময় কাঁটা আতশবাজি, কাঁটাতারে বৃক্ষরাজি
স্বপ্ন দহণ পূণ্য না সয়
সত্যবচন ধর্মে না রয়",anger
"তারা ভরা রাত
মন ছুঁয়ে জল
জোনাকির কোলাহলে
অচেনা পথিক কোথা যাবি চল",sadness
"কিসের এত কান্না
তোমার ঐ দুটি চোখে
সারাটা হৃদয় জুড়ে
কিসের এই নিশ্চুপ থাকা ।",sadness
"তুমি জানো না তোমার
রাতের আকাশে
তারা সব ঝলমল আশা
তুমি বোঝ না কষ্ট পাই
নিজের অজান্তে",sadness
"কিসের এত কষ্ট
তোমার ঐ দুটি চোখে
গোধূলীর রক্তিম আভা
সারাটা দৃষ্টি জুড়ে ",sadness
"এই ঘরে ফেরা নিজেকে ফিরে দেখা
আয়নাতে কার মায়া
আঁধারের আলো ছায়া
আমার সাথে চলে
তোমাকে নিয়ে একা",nostalgia
"অজানা যে আকাশে ওড়ে
অদেখা কোন স্বর্গ আমার
না পাওয়া তবু পথ দেখায়
আশাতে হতাশা ভোলায়",sadness
"চলো বদলে যাই আজ, বদলে যাই আজ
এই পথ শেষ হবে কোথায়?
তুমি আর আমি, আমরা সবাই
একসাথে হই নতুন আলোয়।",happiness
"অন্ধকারে আমার চোখ বেঁধে দাও
যে আলো ছিল ভাসিয়ে দাও
অজানা গানের সুরে হারাই
আমি তোমার ছায়ায় ফিরে যাই",nostalgia
"রুপালী গিটার বাজে বুকে
তুমি আমার সুরের মতো
ভালোবাসার কথা শোনো
মোর চোখে জ্বলছে আগুন",happiness
"তুমি যে আমার স্বপ্নের আকাশ
তোমার হাত ধরেই হেঁটে যাব
সুখ দুঃখ সব ভাগ করে
চিরদিন থাকব তোমার পাশে।",happiness
"বিছানায় পড়ে আছি একা
তোমার কথা মনে পড়ে বারবার
স্মৃতিরা হারায় না কেনো
তুমি আর আমি যেনো ভুলে যাই",sadness
"হাসিখুশি মুছে ফেলো আজ কষ্ট
জীবনের পথে হাঁটো নতুন রঙে
স্বপ্ন দেখো, ভালোবাসো, বাঁচো
আলোক ছড়িয়ে দাও চারদিকে",happiness
"আমার ঘৃনা তোমাকে পোড়াবে না
দেখাবে স্বপ্ন
আমার দুঃখ তোমার আকাশে
মেঘ হয়ে কাঁদাবে না",anger
"আমার ফেলে আসা দুঃস্বপ্নের রাত
যত কষ্টের স্মৃতি
তোমার জন্য বাঁচতে শেখাবে
মৃত্যু হয়ে ছোঁবে না",sadness
"অনেক দূর স্বপ্ন আমার,
অনেক দূর আমার চাওয়া
হাতের কাছে তারার মতো,
আমার করে তোমায় পাওয়া।",nostalgia
"হারিয়ে যাওয়ার মানেই হলো,
নিজেকে আবার খুঁজে পাওয়া
নিজের জন্য গান লিখেছি,
নিজের জন্য তোমায় চাওয়া।",nostalgia
"তোমায় পেলে হয়ত আবার,
নতুন গানের সুরটা পাব
অনেক দূরের আকাশ পথে,
তোমায় নিয়ে হারিয়ে যাব",nostalgia
"নতুন একটা গান লিখেছি
বুকের মধ্যে পাগলা সুরে
রাতের আকাশ তোমার মতোই
আমিও যাব অনেক দূরে",nostalgia
"আহারে, কেনো এই রাগের আগুন?
ভেতরে পুড়ছে সমস্ত কষ্টের সুর
হৃদয় দহন, নিঃশ্বাস ফুরায়
এ রাগ নিয়ে কোথায় যাবো আমি?",anger
"অন্তর মোর ব্যথায় ভেঙে গেছে
কোনো আশা নেই, কোনো স্বপ্ন নেই
তবু তোমার কথা মনে পড়ে যায়
এই ব্যথা দহন যেনো থামেনা",sadness
"সেদিন ভোরে, বুকের গভীরে
শুনেছি জমে থাকা নীল বেদনার ডাকে
এই শহরে ইটের পাহাড়ে, ছিলোনা কেউ যে দেওয়ার প্রেরনা
যন্ত্রে বাঁধা মন, ছিলো ক্লান্ত অসহায়",sadness
"শক্তি দাও বিধাতা, অনন্তকাল ধরে জ্বলছে হৃদয়
হয়তো কেউ বোঝেনা কত সত্য প্রণয়
এসেছিলে বাঁচাতে আমায়, ভরে দিলে নতুন আশায়
রূপকথার মত",nostalgia
"নিঝুম রাতে ছাদের কোনে বসে থাকি আমি
মনের মাঝে ঘুরতে থাকে সুখের সব স্মৃতি
আকাশ ভেঙে পড়ছে ছাদে মিষ্টি চাঁদের আলো
জোছনটা দেখতে যে সবই লাগে ভালো",nostalgia
"
সবাই বলে, আর তুমিও বলো
আর তুমি কি বলো, আর তুমি কি বলো, বলো?
যে পথ জনস্রোত করেছে অবরোধ
সেই পথ এখনও কি লাগছে ভালো?",anger
"সেদিন ভোরে, বুকের গভীরে
শুনেছি জমে থাকা নীল বেদনারা ডাকে
এই শহরে ইটের পাহাড়ে, ছিলোনা কেউ যে দেওয়ার প্রেরণা
যন্ত্রে বাঁধা মন, ছিলো ক্লান্ত অসহায়",sadness
"তবু এই দেয়ালের শরীরে
যতো ছেঁড়া রং, ধুয়ে যাওয়া মানুষ
পেশাদার প্রতিহিংসা তোমার চেতনার
যতো উদ্ভাসিত আলো রং",nostalgia
"""সেই কবে ছিলো উচ্ছ্বাস, কিছু সংখ্যা ভরা চুম্বন
ছিলো প্রেমিকার ঘন নিঃশ্বাস, হাসিমুখে ফুয়ারা।
এই অবেলায় ফোটা কাশফুল, নিয়তির মতো নির্ভুল,
যেনো আঘাতপ্রাপ্ত কোনো যুদ্ধের বুকে বেঁচে থাকা এক মেঘফুল।""",nostalgia
"""জানি ভুল করেছি আমি
তবু ক্ষমা করো আমায়
আমায় যদি ভালো না-ও বাসো
মিথ্যে বলে না হয় একটু হাসো""",sadness
"""চিলতে রোদে পাখনা ডোবায়
মুচকি হাসে শহরতলি
রোজ সকালে পড়ছে মনে
এই কথাটা কেমনে বলি…""",nostalgia
"দিগন্ত জুড়ে নীলিমার মাঝে
পলাতক সময় করে পরিহাস
স্তব্ধ নিঃশ্বাস দূরে ঠেলে
আসি আমি ফিরে বারেবার",nostalgia
"আজ এই শহরের পাখিরা সারারাত অযথাই অন্ধের মতো উড়ছে কেনো?
কড়া রোদে পুড়ে ছাই, ছাই হয়ে আকাশের গায়ে লাল সূর্যটা তবু জ্বলছে কেনো?
অন্ধ হৃদয়, নিখোঁজ হয়ে যায় হারিয়ে, যাকনা কেনো?
পুড়ে যায় সারাক্ষণ।",sadness
"প্রতিটি রাস্তায়, প্রতিটি জানালায়
হাসিমুখ, হাসিমুখে আনন্দধারা।
তুমি চেয়ে আছ তাই, আমি পথে হেঁটে যাই,
হেটে হেটে বহুদূর, বহুদূর যেতে চাই।",nostalgia
"হেঁটে হেঁটে ঘুরছি পথে ভাবছি নিজেকে বোহেমিয়ান
ঝুলে আছি অর্থহীন শ্লোগান বাসের হাতল ধরে অপেরা
পুরানো গানের মতো ছন্নছাড়া বোকা, বোকা সরলরেখায় হারানো কথার কথায়
মনের ভেতর অবাধ্য পাখি আপন ভেবেই সামলে রাখি।",nostalgia
"মনে পড়ে পড়ে না, সহসা চলে যাই, উদাস স্মৃতির কাব্য ছুঁয়ে
ছুটে চলা, অবাক জলরাশির সীমানায় সহসা দ্বীপ
মেঘ ঘন বিকেলে, ক্লান্তি সরিয়ে দেখি, সে কি বিষ্ময়ে মনে পড়ে?
ধুলোর মিছিলে নিঃশ্চুপ বিকেলে বৃষ্টি নামবে বুঝি।",nostalgia
"মিছিলের আর কিছু বাকি, কেউ অধিকার খোঁজো নাকি?
গণতান্ত্রিক রূপকথা সাইনবোর্ড হয়ে ঝুলে থাকি।
অযথাই হেঁটে যায় যারা, শ্লোগান দিতেই দিশেহারা
গোলাপের বাগানে বারূদের উত্তাপে জ্বলা তারা সহসা মিছিলে।",anger
"তুমি হারিয়ে গেছো আলোর সাগরে, ফেলে আঁধারে আমায় তুমি
চার দেয়ালের মাঝে, বিষন্ন কাল নীড়ে জীর্ণশীর্ণ মনে
অজস্র কালো মেঘের ভিড়ে ক্ষণিকের আলোর আশায়
আমার ঘরের অন্ধকারের নীল আকাশের ছবি, আমার নির্ঘুম দুচোখ দিয়ে স্থির চেয়ে থাকি।",sadness
"একদিন হাঁটছি আমরা ক’জন
আমাদের কেউ কেউ উচ্ছাসে, এই শুভ্র সকালে
ধুলোমাখা পথঘাট, ধুলোমাখা শরীর
ধুলোয় ধূসর আমরা ক’জন",nostalgia
"আমার ঘরে জন্ম হলো
আমার ঘরেই বসবাস
ঘরের আলোয় আমার সর্বনাশ
ছিলো ঘরে তেলের প্রদীপ, টিমটিমে তার আলো",sadness
"চেনা শহর, চেনা রাস্তা, পরিচিত ঢাকা
ভেসে যাচ্ছি চোখে আলো জ্বেলে, জাহাজীর মত একা
ঝরে চুন-সুড়কি, শরীরের দেয়াল
তবু সিড়ি ভেঙ্গে ভেঙ্গে, অনেক উঠেও থেমে",nostalgia
"অদৃশ্য চাদরে, দিগন্ত রেখায় বসে আছে সে,
অসংখ্য অনাবিল, পথ পেরিয়ে আশার স্মৃতির ভীড়ে-
রূপালী চাঁদের আলোয় জড়িয়ে থাকা সেই পিচঢালা পথ,
বিষন্ন চারিধার, ছড়িয়ে থাকা মৃদু কুয়াশা-",sadness
"অচিন পাখি দিল ফাঁকি, উদাস বাউল কাকে ডাকি
জলের মাঝে জীবনগুলো, তেপান্তরের পাথর ধুলো
সাগর তীরের জীবন দেয়াল,
সূর্যটাকে রাখিস খেয়াল",nostalgia
"আকাশটা ঢেকে গেছে ধোঁয়ায়
মেঘদল ভাসছে চারদিকে
দিগন্ত যেনো হারিয়ে গেছে
জীবনের খেলা থেমে গেছে",nostalgia
"কথা ছিল পূর্ণতা ছিলো স্বপ্নে
অর্ধেক বেঁচে থাকা অর্ধেক মরে থাকা
তোমার চোখে মুখে শূন্যতার ছবি
আমি হারিয়ে যাই তোর মাঝে",sadness
"ফাঁকা বাতাসে বাজে নিঃশব্দ সুর
হারিয়ে যায় সবার মুখোশের পর্দা
মলিন দেয়ালে লেখা শেষ কথা
তবুও জীবনের পথে হাঁটা অব্যাহত",nostalgia
"রাতের আকাশে জ্বলছে একলা তারা
নিঃশব্দ নিঃসঙ্গতায় ভরে যায় মধুর ধারা
আমার স্বপ্নের শহর আজ যেনো হারিয়ে গেছে
চোখের আড়ালে ভাসে স্মৃতির ছবি",sadness
"এই পথ যদি না শেষ হয়
হাত ধরে যাই দূরে দূরে
স্মৃতিরা আঙুল ফেলে পাশে
শিহরনের মতো ছুঁয়ে যায় মনে",nostalgia
"রাতের আকাশে ঝলমলে তারা
ঘুমিয়ে পড়ে শহরটা ধীরে ধীরে
নিঃশব্দ নীরবতায় ভরে চারিদিকে
মন হারায় অজানা স্বপ্নের গানে",sadness
"অন্তর মোর ব্যথায় ভেঙে গেছে
কোনো আশা নেই, কোনো স্বপ্ন নেই
তবুও তোমার কথা মনে পড়ে যায়
এই ব্যথা দহন যেন থামে না",sadness
"স্মৃতিরা এসে বাঁধে বুকের মাঝে
আজও বয়ে যায় একান্ত নিঃশব্দে
হারানো দিনের কথা মনে পড়ে
চোখে জলে ভাসে পুরানো ছবি",nostalgia
"চল, হারিয়ে যাই অজানায়
আলো নিভে যাক দূরে আঁধারায়
তোমার ছোঁয়া, আমার ছায়া
মিশে যাক একাকার এ বেলায়",nostalgia
"একলা এই পথ চলেছি
স্বপ্ন আমার বুকের ভেতর লুকিয়েছি
নিরব নির্জনে আঁধার রাতে
খুঁজেছি তোমাকে হাত বাড়িয়ে",sadness
"স্বপ্নের পাল বেয়ে চলেছি
দূরের ঠিকানা খুঁজে পাইনি
চুপচাপ বাতাসে গান শোনাই
হারিয়ে যাই অজানার দেশে",nostalgia
"ভালোবাসা যদি থাকে সত্যি
হৃদয়ে জমে থাকে চিরকাল
তুমি আমার নীরব স্পর্শে
মিশে যাই ভালোবাসার রূপে",happiness
"হারানো সেই দিনের কথা
চোখে ভাসে দুঃখের স্মৃতি
ফিরবে না ফিরে যাওয়া সময়
মন পড়ে যায় নিঃশব্দে",sadness
"স্বপ্নের পাল বেয়ে চলেছি
দূরের ঠিকানা খুঁজে পাইনি
চুপচাপ বাতাসে গান শোনাই
হারিয়ে যাই অজানার দেশে",nostalgia
"চল, হারিয়ে যাই অজানায়
আলো নিভে যাক দূরে আঁধারায়
তোমার ছোঁয়া, আমার ছায়া
মিশে যাক একাকার এ বেলায়",nostalgia
"একলা এই পথ চলেছি
স্বপ্ন আমার বুকের ভেতর লুকিয়েছি
নিরব নির্জনে আঁধার রাতে
খুঁজেছি তোমাকে হাত বাড়িয়ে",sadness
"ভালোবাসা যদি থাকে সত্যি
হৃদয়ে জমে থাকে চিরকাল
তুমি আমার নীরব স্পর্শে
মিশে যাই ভালোবাসার রূপে",happiness
"হারানো সেই দিনের কথা
চোখে ভাসে দুঃখের স্মৃতি
ফিরবে না ফিরে যাওয়া সময়
মন পড়ে যায় নিঃশব্দে",sadness
"রাত গভীরে অন্ধকার ঘেরা
মনের ক্ষোভ যেনো সেধে
ব্যথার ছায়ায় মিশে যাই আমি
একাকীত্বে ডুবে হারাই আমি",sadness
"ভাঙা স্বপ্নের টুকরো হাতে
হারানো দিনের স্মৃতি বুকে
তুমি ছিলে দূরে কোথাও
এখন শুধু শূন্যতা বুকে",sadness
"কষ্টের সুরে গাই আজ বিচ্ছেদের গান
চোখের জল ঝরে পথিমধ্যে না মান
হারানো ভালোবাসার স্মৃতি জাগে
হৃদয় ভেঙে গেছে, শূন্যতা লাগে",sadness
"পুড়ে পুড়ে ছাই আমি, শিহরণে কাঁপি
নিঃস্ব স্বপ্নের রেশ বুকে জমে যায় নাকি?
হারিয়ে যাই একাকী, অশ্রু জলের স্রোতে
ব্যথার সুরে গাই, মন বেদনায় ডুবে",anger
"দিনের শেষে দেখা হবে কোথায়
চোখে চোখ রেখে কথা হবে কী
হারানো দিনের অপেক্ষায় আমি
ফিরে পাওয়ার আশা নিয়ে রই",nostalgia
"অন্ধকার রাতে শুধু চুপচাপ হাঁটি
মনের গহীনে ক্ষতগুলো গুনি
হারানো ভালোবাসার স্মৃতি নিয়ে
একাকী পথে একলা চলি",sadness
"বেদনার কাঁটে আঘাত লাগে মনে
কান্নার ঝড় ওঠে অন্তরে
ছায়ার মতো বয়ে চলে স্মৃতি
হারিয়ে যায় সব সুখের কথা",sadness
"হারানো জীবনের ছায়ায় ভাসি
পেছনে ফিরে দেখি শুধুই বেদনা
ভাঙা স্বপ্ন আর ছেঁড়া আশা
নিয়ে চলি অজানায় পথচলা",sadness
"জীবনের গানটা বাজে মনেতে
সুখ দুঃখ মিলিয়ে একসাথে
হারিয়ে যাই স্মৃতির মাঝে
ফিরে ফিরে ভালোবাসায়",nostalgia
"নিভে যাওয়া তারা হিমশীতল রাতে
বুকে জমে থাকা একাকীত্বের কথা
ফিরে পেতে চাও জীবনের আলো
হারিয়ে যাওয়া স্মৃতির ছোঁয়া",sadness
"তুমি ক্রোধের আগুনে জমে থাকা ব্যথা
আমার শেষ বিকেলের ধোঁকা
কোনো রোদেলা দুপুরে তোমায় ফিরে পাবো বলে
অর্থহীন খোঁজা",sadness
"আমি আঁকিনি তোমার ছবি
দেখিনি স্রোতের নদী
আকাশ ভরা তারা
যত সুখের স্মৃতি ঘিরে
আছো তুমি মেয়ে
এ পথের শেষ কোথা?",nostalgia
"ছেঁড়া পালের গহীনে লাগিয়ে ঝড়ো হাওয়া
তুমি ভাসাও সুরের ভেলা
তবু কাঁদো কেন বসে, একা নির্জনে
ভুলে যাও তুমি বাস্তবতা?",sadness
"আমি পাইনি তোমার ছোঁয়া
শিশির মাখানো ধোঁয়া
জলের নিস্তব্ধতা
আজও চাঁদ ডুবে গেলে
তোমায় মনে পড়ে
সঙ্গী মোর নিঃসঙ্গতা",sadness
"কখন থামবে কোলাহল জানি না
সময় কাঁদে বন্দী হয়ে
বুকের পাঁজরে, জমাট বেদনায়
আলোর মশাল জ্বালি নীরবে",sadness
"তুমি আবার আসবে কখন কোথায়?
গুনবে তারা আমার সাথে
বুকের যন্ত্রনা নিভিয়ে দিয়ে
গাইবে তুমি বৃষ্টির সুরে",nostalgia
"জানি সর্বনাশী কোন ঝড়ের চিহ্ন
সে তো নিরবতার প্রতিবিম্ব
অবাধে তোলপাড় করে তোলে
কেনো আগ্রাসন লাগাম ছিড়ে শীর্ণ
শুধু কবিতায় অবতীর্ণ
স্বার্থের খূটি গেড়ে।",anger
"দেখি নিভু চোখে তাকিয়ে
মায়ার বাধন ছিড়ে
ফিরে যাই স্বপ্ননীড়ে",nostalgia
"মুগ্ধতায় মোহনীয় আলোর মাধুর্য
আধোনীল রঙের দিগন্ত
জীবনের মাঝলগ্নে
স্বরলিপি আর সূরের মালা গড়ে
অমরত্ব ছোঁয়ার কোন এক মোহে",happiness
"আমি দু‘হাত বেঁধে ধরে রাখি ঘড়ির কাঁটা
বন্ধ দরজা নয় খোলা জানালা
নিয়ে আসে আমায় নতুন ঠিকানায়
আমি শিল্পী নয় হতে চাই জাদুকর
সূরের মুর্ছনায় কাটাবো প্রহর
স্বপ্ন দেখা কি এত ভুল?",nostalgia
"কি ভীষন অভিমানের ক্ষণ
হাসিমুখে করেছি বরণ
অভিশপ্ত এ জীবন
মৌনতায় নিস্তব্ধ আঁধারে
হতাশা ঘেরা পাহাড়ে
আমি যাই হারিয়ে",sadness
"আমি সৃষ্টি ক্ষুধায় জ্বলে পূড়ে ছারখার
নেই সাহস আমার পথ পেরোবার
কি করে তোমার গর্ব হব মা?
মাগো অঝর বর্ষায় মিশে যাব তোমার চোখের নোনা বৃষ্টিতে
অভিমান হয়ে ভেবো আমি পাশেই আছি তোমার।",anger
"বল কি করে বেঁচে থাকব?
আমার মনের ভেতরটা মরে গেছে কত রাত ধরে ঘুমাই নি...
বিদ্রোহী রণসঙ্গীত বাজে
আমার গীটারের তাঁরে
মরে যাওয়া মনুষত্ব থেকে
প্রতিরোধ ওঠে জেগে।",anger
"দেখি শিয়রে দাঁড়িয়ে কে কড়া নারে
মৃত্যুর দুয়ার খুলে গেছে
সময় হলো হিসেব মেলাবার।",sadness
"আমি দু‘হাত বেঁধে ধরে রাখি ঘড়ির কাঁটা
বন্ধ দরজা নয় খোলা জানালা
নিয়ে আসে আমায় নতুন ঠিকানায়",nostalgia
"মাগো অঝর বর্ষায় মিশে যাব তোমার চোখের নোনা বৃষ্টিতে
অভিমান হয়ে ভেবো আমি পাশেই আছি তোমার।",anger
"আমি ভোরের আলোয় চোখ মেলতে ভয় পাই
ভেজা মাটির গন্ধ নিতে ভুলে যাই
অনুভুতিগুলো যাচ্ছে মরে",sadness
"তবু এভাবে সময় আমার
কেটে যাবে তোমাকে ভেবে,
তোমায় নিয়ে স্বপ্নগুলো
ভোর হলে যায় যে ভেঙ্গে",sadness
"আকাশ মেঘে বৃষ্টি হয়ে
স্বপ্নগুলো দেয় ভিজিয়ে;
তুমিও কি আমার সাথে
ভিজবে পথে হাত জড়িয়ে",nostalgia
"দেখি তোমাকে আছো দাঁড়িয়ে
আনমনে নীল শাড়িতে,
হাজার ভীড়ে সব ছাড়িয়ে
শুধু তুমি আমার চোখে",happiness
"পথের ধারে তোমার আশায়
ভালোবাসার ধূসর আলোতে;
আছি দাঁড়িয়ে স্বপ্ন নিয়ে
তোমার আকাশে সুর ঝরাতে।",nostalgia
" আর বৃষ্টি,
নীল শাড়িতে লাগছে মিষ্টি!
একগুচ্ছ কদম হাতে;
ভিজতে চাই তোমার সাথে!!
একগুচ্ছ..!!!",happiness
"নিঃস্ব করেছো আমায় কি নিঠুর ছলনায়
তুমি-হীনা এ হৃদয় আমার একাকী অসহায়
নিঃস্ব করেছো আমায় কি নিঠুর ছলনায়
তুমি-হীনা এ হৃদয় আমার একাকী অসহায়",sadness
"পেয়ে হারানোর বেদনায় পুড়ে চলেছি সারাক্ষণ
কেন তুমি মিছে মায়ায় বেঁধেছিলে আমায় তখন",sadness
"ফিরিয়ে দাও
আমারি প্রেম তুমি ফিরিয়ে দাও
ফিরিয়ে দাও হারানো দিনগুলো
এভাবে চলে যেয়ো না",sadness
"অকারণ অভিমানে তুমি চলে যেয়ো না
মায়াবী এ বাঁধন ছিড়ে দূরে সরে যেয়ো না",sadness
"তোমার চোখে
চেয়ে দেখি আমি জীবনটাকে
ভালোবাসার স্মৃতিগুলো
তোমাকে শুধু চায়",happiness
"কিছু কথা
কিছু আশা নিয়ে জীবনটাতে
অনাবিল সব সুখের ছোঁয়ায়
তোমাকে কাছে চাই",happiness
"ওই সুদূর নীলিমায়
মন হারিয়ে যেতে চায়
যেথায় সময় থেমে রয়
তোমারই আশায়",nostalgia
"নীলা, তুমি কি চাও না হারাতে ওই নীলিমায়
যেখানে দু'টি মন এক হয়ে ছবির মতো জেগে রয়
নীলা, তুমি কি জানো না আমার হৃদয়ের ঠিকানা
যেখানে তোমার আমার প্রেম মিলে মিশে এক হয়",happiness
"ফুলের মতো
সৌরভে ভরিয়ে দিয়ে
তোমায় আমি ভালোবেসে
আরও কাছে পেতে চাই",happiness
"দুরন্ত প্রেম
ঝর্ণাধারারই মতো
ছুটে চলে অবিরত
তোমার ঠিকানায়",happiness
"আজকের আকাশে অনেক তারা
দিন ছিল সূর্যে ভরা
আজকের জোছনাটা আরো সুন্দর
সন্ধ্যাটা আগুন লাগা",happiness
"আজকের পৃথিবী তোমার জন্য
ভরে থাকা ভালো লাগা
মুখরিত হবে দিন গানে গানে আগামীর সম্ভাবনা",happiness
"তুমি এই দিনে পৃথিবীতে এসেছ
শুভেচ্ছা তোমায়
তাই অনাগত ক্ষণ হোক আরো সুন্দর
উচ্ছল দিন কামনায়....
আজ জন্মদিন তোমার...",happiness
"তোমার জন্য এই রোদেলা স্বপ্ন সকাল
তোমার জন্য হাসে অনরল স্নিগ্ধ বিকেল
ভালবাসা নিয়ে নিজে তুমি,
ভালোবাসো সব সৃষ্টিকে
ভালবাসা নিয়ে নিজে তুমি,
ভালোবাসো সব সৃষ্টিকে",happiness
"তোমার জন্য ফোঁটা পৃথিবীর সব গোলাপ
তোমার জন্য এই কবিতা নয় সে প্রলাপ
আলোকিত হয়ে নিজে তুমি, আলোকিত কর পৃথিবীকে",happiness
"আজকের জোছনাটা আরো সুন্দর,
সন্ধ্যাটা আগুন লাগা
আজকের পৃথিবী তোমার জন্য
ভরে থাকা ভালো লাগা
মুখরিত হবে দিন গানে গানে আগামীর সম্ভাবনা
",happiness
